,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kpandu,0,GH,1545291889,76,7.0,0.29,85.86,5.73
1,Albany,20,US,1545288900,74,42.65,-73.75,24.8,2.93
2,Tiksi,12,RU,1545292058,76,71.64,128.87,-38.12,1.48
3,Saskylakh,20,RU,1545291782,0,71.97,114.09,-42.39,3.71
4,Gat,0,SN,1545291000,26,14.69,-16.54,69.8,11.41
5,Ushuaia,0,AR,1545289200,75,-54.81,-68.31,46.4,5.82
6,Hobart,20,AU,1545291000,48,-42.88,147.33,62.6,17.22
7,Nola,0,CF,1545292116,72,3.52,16.05,83.25,2.93
8,Mataura,48,NZ,1545291779,67,-46.19,168.86,55.98,6.51
9,Nabire,44,ID,1545291785,89,-3.36,135.5,73.13,1.59
10,East London,40,ZA,1545289200,64,-33.02,27.91,73.4,10.29
11,Viedma,64,AR,1545292116,88,-40.81,-62.99,61.56,4.27
12,Mount Isa,92,AU,1545291000,15,-20.73,139.49,107.6,6.93
13,Qaanaaq,56,GL,1545292082,88,77.48,-69.36,1.35,6.62
14,Chokurdakh,76,RU,1545292071,43,70.62,147.9,-27.54,3.6
15,Porosozero,88,RU,1545292118,89,62.72,32.71,11.7,3.38
16,Berkakit,32,RU,1545292118,31,56.58,124.77,-23.76,2.82
17,Pevek,0,RU,1545292092,100,69.7,170.27,-31.86,4.38
18,Lavrentiya,8,RU,1545292118,100,65.58,-170.99,-5.58,11.21
19,Rikitea,24,PF,1545292118,100,-23.12,-134.97,76.5,9.31
20,Lorengau,68,PG,1545292032,100,-2.02,147.27,81.45,5.39
21,Arraial do Cabo,48,BR,1545292037,96,-22.97,-42.02,76.01,4.72
22,Vaini,20,IN,1545289200,57,15.34,74.49,77.0,9.17
23,Oum Hadjer,20,TD,1545292118,22,13.3,19.7,78.71,8.63
24,Garowe,12,SO,1545292119,48,8.41,48.48,83.79,15.68
25,Misratah,0,LY,1545292038,94,32.38,15.09,58.01,11.54
26,Busselton,0,AU,1545291778,71,-33.64,115.35,77.85,13.78
27,Nizwa,0,OM,1545292119,37,22.93,57.53,77.09,4.38
28,Victoria,75,BN,1545289200,79,5.28,115.24,86.0,5.82
29,Atuona,56,PF,1545291774,100,-9.8,-139.03,81.32,14.23
30,Georgetown,20,GY,1545289200,94,6.8,-58.16,75.2,4.7
31,Hilo,90,US,1545289980,93,19.71,-155.08,68.0,10.29
32,Bontang,76,ID,1545292119,100,0.12,117.47,82.71,3.15
33,Manyana,75,AU,1545289200,65,-35.26,150.51,77.0,13.87
34,Los Llanos de Aridane,0,ES,1545291000,72,28.66,-17.92,60.8,9.17
35,Dikson,20,RU,1545292040,100,73.51,80.55,-9.05,10.2
36,Mufulira,92,ZM,1545292120,100,-12.55,28.24,70.07,3.04
37,Egersund,75,NO,1545290400,75,58.45,6.0,42.8,12.75
38,Mahebourg,40,MU,1545289200,62,-20.41,57.7,84.2,16.11
39,Tulu Bolo,0,ET,1545292120,32,8.66,38.21,68.18,4.61
40,Nanortalik,80,GL,1545292046,83,60.14,-45.24,35.87,38.16
41,Jamestown,0,AU,1545292056,37,-33.21,138.6,76.91,12.66
42,Vardo,1,US,1545290700,100,39.62,-77.74,33.8,2.37
43,Desnogorsk,80,RU,1545292121,87,54.15,33.29,12.02,6.62
44,Mount Gambier,90,AU,1545289200,67,-37.83,140.78,60.8,19.46
45,Mar del Plata,0,AR,1545291782,100,-46.43,-67.52,45.63,2.93
46,Faanui,12,PF,1545292121,100,-16.48,-151.75,83.66,5.17
47,Mwinilunga,64,ZM,1545292121,86,-11.73,24.43,71.69,4.61
48,La Ronge,90,CA,1545289200,92,55.1,-105.3,19.4,4.7
49,Punta Arenas,0,CL,1545289200,81,-53.16,-70.91,48.2,11.41
50,Cape Town,0,ZA,1545289200,60,-33.93,18.42,71.6,9.17
51,Nikolskoye,75,RU,1545291000,85,59.7,30.79,17.6,6.71
52,Bluff,0,AU,1545291779,37,-23.58,149.07,92.43,7.85
53,Souillac,100,FR,1545289200,93,45.6,-0.6,46.4,11.41
54,Saint-Joseph,0,FR,1545289200,81,43.56,6.97,42.8,3.36
55,Zhigansk,44,RU,1545292076,73,66.77,123.37,-16.88,5.84
56,Kapaa,75,US,1545288960,75,22.08,-159.32,69.08,20.8
57,Omaruru,0,NA,1545292124,25,-21.42,15.95,87.03,5.84
58,Poya,36,NC,1545292124,94,-21.35,165.16,79.38,12.44
59,Saint George,20,GR,1545290400,86,39.45,22.34,37.4,5.82
60,Paramonga,76,PE,1545292124,100,-10.68,-77.82,68.04,8.41
61,Butaritari,80,KI,1545291780,99,3.07,172.79,85.82,13.44
62,Baherden,68,TM,1545292125,100,38.44,57.43,38.57,8.75
63,Castro,0,CL,1545289200,87,-42.48,-73.76,44.6,6.93
64,Avera,90,US,1545291300,92,33.19,-82.53,53.96,5.82
65,Kaeo,64,NZ,1545292125,78,-35.1,173.78,62.46,12.44
66,Yellowknife,90,CA,1545289200,84,62.45,-114.38,5.0,5.82
67,Ixtapa,5,MX,1545288240,100,20.71,-105.21,64.4,4.7
68,Yulara,0,AU,1545289200,19,-25.24,130.99,98.6,8.05
69,Astoria,90,US,1545288900,100,46.19,-123.83,50.0,6.93
70,Mukhen,0,RU,1545292126,47,48.19,136.14,2.57,6.06
71,Honningsvag,0,NO,1545288600,68,70.98,25.97,26.6,16.11
72,Prescott,1,US,1545288780,56,34.54,-112.47,35.96,8.05
73,Seoul,1,KR,1545291000,36,37.57,126.98,50.36,1.12
74,Sawakin,92,SD,1545292126,100,19.1,37.33,71.55,11.21
75,Honiara,92,SB,1545292126,100,-9.43,159.96,74.7,1.7
76,Srednekolymsk,64,RU,1545292127,63,67.46,153.71,-34.52,2.71
77,Douala,40,CM,1545289200,94,4.04,9.71,78.8,3.36
78,Dingle,92,PH,1545292127,100,11.0,122.67,72.59,4.16
79,Yokadouma,0,CM,1545292127,60,3.52,15.05,81.68,3.38
80,Imbituba,75,BR,1545289200,88,-28.24,-48.67,75.2,9.17
81,Buraydah,40,SA,1545289200,72,26.33,43.97,64.4,9.17
82,Owando,24,CG,1545292128,80,-0.49,15.91,81.59,3.04
83,Puerto Ayora,64,EC,1545292044,100,-0.74,-90.35,74.84,11.43
84,Bundaberg,0,AU,1545289200,66,-24.87,152.35,84.2,12.75
85,Isla Vista,1,US,1545290100,81,34.41,-119.86,51.08,3.36
86,Manadhoo,80,MV,1545292128,100,5.77,73.38,80.96,7.29
87,Saldanha,80,PT,1545292068,96,41.42,-6.55,42.93,5.39
88,Santiago,0,CL,1545289200,81,-33.44,-70.65,53.6,5.82
89,Anjiang,92,CN,1545292129,100,27.32,110.14,51.66,2.26
90,Meulaboh,48,ID,1545292110,99,4.14,96.13,84.6,2.93
91,Lompoc,1,US,1545290100,92,34.64,-120.46,48.38,6.93
92,Skovorodino,48,RU,1545292130,73,53.99,123.94,-17.73,2.59
93,Esna,12,RO,1545292130,100,45.2,27.57,24.44,4.5
94,Hermanus,0,ZA,1545291784,48,-34.42,19.24,76.68,3.83
95,Biak,88,ID,1545292130,93,-0.91,122.88,81.99,1.36
96,Lamu,56,ID,1545292058,94,0.57,122.3,77.4,2.71
97,Maralal,0,KE,1545292130,62,1.1,36.7,73.31,4.72
98,Geraldton,90,CA,1545289200,94,49.72,-86.95,32.0,2.24
99,Novovyazniki,92,RU,1545292131,88,56.2,42.16,15.17,8.41
100,Vilyuysk,68,RU,1545292131,65,63.75,121.63,-8.91,3.94
101,Villa Bruzual,80,VE,1545292132,72,9.33,-69.12,75.24,2.82
102,Barrow,48,AR,1545292053,94,-38.31,-60.23,62.91,6.17
103,Port Elizabeth,1,US,1545290220,100,39.31,-74.98,32.0,3.38
104,Plettenberg Bay,0,ZA,1545292133,91,-34.05,23.37,69.17,5.28
105,Araouane,48,ML,1545292133,25,18.9,-3.53,66.6,7.74
106,Hithadhoo,44,MV,1545291772,100,-0.6,73.08,81.86,2.37
107,San Quintin,56,PH,1545292081,63,17.54,120.52,78.62,4.94
108,Camacha,0,PT,1545289200,82,33.08,-16.33,59.0,4.7
109,Bredasdorp,24,ZA,1545289200,50,-34.53,20.04,75.2,3.36
110,Caborca,0,MX,1545292134,60,30.58,-111.1,34.07,3.83
111,Yerbogachen,48,RU,1545292051,58,61.28,108.01,4.91,6.06
112,Cabo San Lucas,0,MX,1545291891,100,22.89,-109.91,71.46,0.92
113,Louisville,90,US,1545291300,70,38.25,-85.76,51.08,8.63
114,Nelson Bay,76,AU,1545291000,62,-32.72,152.14,86.0,13.87
115,Isla Mujeres,40,MX,1545288240,83,21.23,-86.73,78.8,16.11
116,Dhidhdhoo,48,MV,1545292135,100,6.88,73.1,81.45,7.63
117,Panguipulli,75,CL,1545289200,93,-39.64,-72.33,46.4,4.7
118,Vao,48,EE,1545292135,91,59.1,26.19,18.45,6.29
119,Biabou,40,VC,1545289200,78,13.2,-61.13,78.8,20.8
120,Ponta do Sol,56,BR,1545292110,95,-20.63,-46.0,66.78,3.6
121,Kruisfontein,8,ZA,1545292136,79,-34.0,24.73,71.87,4.72
122,Tuktoyaktuk,88,CA,1545292035,100,69.44,-133.03,9.32,4.61
123,Luderitz,0,NA,1545292136,94,-26.65,15.16,64.8,7.63
124,Surab,0,PK,1545292136,38,28.49,66.26,55.98,10.98
125,Maumere,80,ID,1545292048,100,-8.63,122.22,79.56,4.72
126,Pacific Grove,1,US,1545290100,89,36.62,-121.92,51.98,4.7
127,Asvanyraro,75,HU,1545291000,85,47.83,17.49,26.6,10.29
